767, 2094, 5062, 10000, -314
1396, 1954, 2611, 9574, -29
1745, 1745, -9999, 10000, 1146
1745, 1745, -6462, 10000, 314
1954, 698, -3648, 10000, 1162
2164, 488, 1309, 10000, 642
2164, 488, 4272, 10000, 747
2373, 418, -9999, 10000, 1538
2373, 628, -8084, 10000, 1283
2373, 628, -9999, 10000, 1254
2513, -208, 10000, 1073, -291
2303, 69, 10000, -9999, -1078
1047, 1117, 10000, -9999, -1698
1047, 1117, 10000, -7951, -1126
-278, 1535, 10000, 10000, -789
209, 1466, 7444, 10000, 287
209, 1466, -9999, 10000, 1594
1256, 1466, -9999, 10000, 988
1535, 139, 10000, 9135, 327
1535, 139, 3470, 10000, 845
1954, 209, 10000, 7371, 81
1884, 1186, 420, 10000, 572
1884, 1186, 8441, 6993, -88
1954, 1256, 10000, 2113, -233
1745, 1326, 10000, 1723, -328
1745, 1675, 9752, 4399, -255
1326, 1675, 10000, -462, -623
1256, 1815, 8039, 4781, -303
1047, 2164, 10000, -9999, -1282
1047, 2164, 3738, 7592, 325
558, 2094, 10000, 5124, -708
1117, 1815, 10000, -9999, -1245
1117, 1815, 10000, 1846, -364
488, 1954, 10000, -2319, -1027
558, 2164, 10000, -3151, -959
558, 2164, 973, 10000, 166
418, 2094, 10000, 6668, -782
1117, 2024, 10000, -9999, -1390
1117, 2024, 8037, 9701, -216
558, 2164, 10000, 5374, -598
698, 2024, 9191, 6551, -407
1186, 2164, 5699, 5094, -269
1186, 2164, 4684, 5703, -313
1396, 2094, 4855, 2769, -313
1186, 1815, 4794, 5671, -168
1186, 1815, 267, 9700, 48
1326, 1675, 2829, 8506, -25
1745, 1466, 3917, 3895, 81
1745, 1466, 2397, 5074, 150
1675, 1466, 3478, 4177, 28
1605, 1396, 3835, 5349, 49
1605, 1396, 5868, 2187, -144
1396, 1535, 5217, 3144, -132
1396, 1535, 6537, 1012, -266
1396, 1745, 5316, 2996, -263
1186, 1745, 3389, 4737, -94
1186, 1605, 2405, 6993, 190
1605, 1396, 5542, 3086, -180
1605, 1396, 8294, -575, -375
1396, 1535, 9084, -372, -317
1047, 1815, 2987, 6728, -86
1047, 1815, 1512, 6594, -203
1186, 1815, -53, 8444, 136
1605, 1326, 7001, 2147, -98
1605, 1326, 2046, 7595, 290
1605, 1396, -1902, 10000, 430
1605, 1326, -4093, 10000, 524
1605, 1326, 6033, 5950, 286
2024, 698, 10000, 1748, -49
1884, 1047, 6606, 3849, 156
1466, 1605, 497, 8609, 318
1466, 1605, -1236, 9895, 358
1745, 1256, 6493, 1984, -39
1745, 1117, 10000, -1374, -156
1745, 1117, 10000, -184, -180
