1326, 2024, 3339, 3685, 253
1117, 1884, 884, 8194, 34
1117, 1884, 2410, 6330, 69
1535, 1466, 3804, 4060, 75
1535, 1326, 3807, 5447, 229
1535, 1326, -1152, 9439, 487
1535, 1466, 2122, 9897, 354
1815, 1117, 3295, 5859, 79
1884, 1117, 7565, 728, 83
1884, 1117, 3000, 5070, 272
1466, 1396, 865, 7801, 53
1745, 1186, 4524, 3706, 5
1745, 1186, 6491, 1849, 9
1466, 1396, 10000, -3991, -571
1117, 1745, 9502, 755, -449
1117, 1745, 10000, -121, -642
698, 2164, 10000, 104, -790
767, 2164, 1654, 10000, 236
767, 2164, 1610, 8054, -511
1047, 1954, 10000, -9678, -1106
1256, 1675, 10000, -9945, -1136
209, 2024, 10000, 7550, -892
209, 2024, 10000, -3554, -1188
139, 2164, 10000, -2780, -1310
-68, 2513, 10000, -4571, -1526
-68, 2513, 9770, 7417, -703
0, 2373, 10000, -2428, 63633
418, 2722, 10000, -9999, 63485
418, 2722, 10000, -1711, -824
-278, 2583, 10000, 1828, -1498
-138, 2652, 10000, -6215, 63902
-138, 2652, 3066, 10000, -139
-208, 2652, 5226, 10000, -667
698, 2373, 7597, 6930, -371
698, 2373, -7377, 10000, 753
1396, 2234, -1794, 9989, 118
1815, 1396, 10000, -9999, -1252
1326, 1466, 10000, -2730, -485
1326, 1466, -761, 10000, 886
488, 1954, -9999, 10000, 1042
1326, 907, 10000, 8009, -313
1326, 907, 10000, 152, -682
1605, 907, 10000, 7229, 475
1326, 1675, 1423, 10000, 616
1326, 1675, -3159, 10000, 608
1815, 1466, -7765, 10000, 983
2303, 698, 5999, 3576, -134
2303, 698, 10000, -9999, -1441
2094, 488, 1276, 10000, 1946
977, 1326, -9999, 10000, 2435
1396, 488, 10000, 9298, -199
1396, 488, 10000, -9999, 63795
1396, 628, 10000, -9999, -978
209, 1466, 6189, 10000, 642
209, 1466, 10000, 10000, -206
628, 1675, 10000, -3332, -1337
1186, 1815, 10000, -9999, 63648
1186, 1815, 10000, -9999, -1487
69, 1954, 10000, 412, -971
-417, 2094, 10000, 10000, -725
-417, 2094, 10000, -2843, 63677
418, 2303, 10000, 290, -818
209, 2373, 10000, 7631, -391
209, 2373, 10000, -9999, 62992
698, 2373, 10000, -9999, 63870
-68, 2234, 10000, -3487, -1528
-627, 2443, 10000, -8956, 63000
-627, 2443, 10000, -9999, 63703
-1116, 2513, 10000, -3949, 63734
-1116, 2513, 10000, 10000, -1000
-1116, 2513, 10000, 10000, -1519
-68, 2652, 10000, -8789, 63562
209, 2513, 10000, -2533, -1231
209, 2513, 10000, -9999, 63604
-348, 2722, 10000, -9999, 63474
-906, 2722, 10000, 297, -1393
-906, 2722, 10000, 5918, -1400
-976, 2722, 10000, 5177, -1449
69, 2722, 10000, 6645, -640
